task_id,family,finish_reason,zero_char,parse_failure,shape_mismatch,primary_decision,avg_confidence,gt_matches
auto_control_0a7d41f9,control,stop,False,False,False,select,0.505,0
auto_control_10a8c371,control,length,False,True,False,select,0.443,0
auto_control_22ae2e50,control,stop,False,False,True,select,0.445,0
auto_control_2387060f,control,length,False,True,False,select,0.443,0
auto_control_2670f740,control,length,False,True,False,select,0.442,0
auto_control_26d0e348,control,length,False,True,False,select,0.444,0
auto_control_26f31f37,control,stop,False,False,True,select,0.444,0
auto_control_38d9fdef,control,length,False,True,False,select,0.459,0
auto_control_3ad13935,control,length,False,True,False,select,0.508,0
auto_control_3dd4f01e,control,stop,False,False,True,select,0.445,0
auto_diversity_sensitive_02587caa,diversity,stop,False,False,False,select,0.586,0
auto_diversity_sensitive_037e2453,diversity,length,False,True,False,select,0.508,0
auto_diversity_sensitive_038c9007,diversity,stop,False,False,False,select,0.504,0
auto_diversity_sensitive_0b8af6a4,diversity,stop,False,False,False,select,0.543,0
auto_diversity_sensitive_1152c977,diversity,stop,False,False,False,select,0.496,0
auto_diversity_sensitive_15cf3c10,diversity,stop,False,False,False,select,0.574,0
auto_diversity_sensitive_17a8c07d,diversity,length,False,True,False,select,0.505,0
auto_diversity_sensitive_18d4664f,diversity,stop,False,False,False,select,0.518,0
auto_diversity_sensitive_206dd33a,diversity,length,False,True,False,select,0.494,0
auto_diversity_sensitive_3849eb30,diversity,stop,False,False,True,select,0.447,0
auto_diversity_sensitive_3c266c89,diversity,length,False,True,False,select,0.491,0
auto_diversity_sensitive_491f8005,diversity,stop,False,False,False,select,0.596,0
auto_diversity_sensitive_8109887c,diversity,stop,False,False,False,select,0.596,0
auto_diversity_sensitive_838ea6d1,diversity,stop,False,False,False,select,0.595,0
auto_diversity_sensitive_8ce7727d,diversity,stop,False,False,False,select,0.595,0
auto_refinement_composition_1419bfb8,refinement,length,False,True,False,select,0.444,0
auto_refinement_composition_19d85e36,refinement,stop,False,False,False,select,0.473,0
auto_refinement_composition_1b0f0222,refinement,stop,False,False,True,select,0.445,0
auto_refinement_composition_2012f8de,refinement,stop,False,False,False,select,0.505,0
auto_refinement_composition_223385f0,refinement,stop,False,False,False,select,0.596,0
auto_refinement_composition_2403f0a9,refinement,stop,False,False,True,select,0.444,0
auto_refinement_composition_35f6757c,refinement,length,False,True,False,select,0.444,0
auto_refinement_composition_3ed8c295,refinement,stop,False,False,True,select,0.442,0
auto_refinement_composition_400f66fd,refinement,stop,False,False,False,select,0.506,0
auto_refinement_composition_4da2fe3a,refinement,length,False,True,False,select,0.443,0
auto_refinement_composition_53903c59,refinement,length,False,True,False,select,0.444,0
auto_refinement_composition_6ab0387a,refinement,length,False,True,False,select,0.444,0
auto_refinement_composition_7132b1e5,refinement,length,False,True,False,select,0.443,0
auto_refinement_composition_78f717af,refinement,stop,False,False,True,select,0.442,0
auto_refinement_composition_80a2167e,refinement,stop,False,False,False,select,0.572,0
auto_selector_divergence_078c9def,selector,stop,False,False,False,select,0.524,0
auto_selector_divergence_0b3745a0,selector,length,False,True,False,select,0.502,0
auto_selector_divergence_0d07756c,selector,stop,False,False,False,select,0.575,0
auto_selector_divergence_1a3302c3,selector,stop,False,False,False,select,0.496,0
auto_selector_divergence_1e2d6ff0,selector,stop,False,False,False,select,0.558,0
auto_selector_divergence_1e4cf123,selector,stop,False,False,False,select,0.467,0
auto_selector_divergence_24f5495f,selector,stop,False,False,False,select,0.562,0
auto_selector_divergence_2932fe83,selector,stop,False,False,False,select,0.535,0
auto_selector_divergence_2ef7ff5d,selector,stop,False,False,False,select,0.566,0
auto_selector_divergence_312f815c,selector,length,False,True,False,select,0.591,0
