trace_id,task_id,generator_name,confidence_score,answer_json,reasoning_steps_json,created_at
714a192d-315d-4713-9c77-844a473b8f6a,colour_swap_001,greedy,0.9056,"[[2, 0, 1], [1, 2, 0], [0, 1, 2]]","[""Identified 3 distinct colour mappings from 2 training pairs."", ""Derived greedy best mapping: {1: 2, 2: 1, 0: 0}."", ""Applied mapping to 3x3 test grid (coverage=1.00).""]",2026-04-13T12:52:28.301900+00:00
c9fa4cce-0c86-4599-affd-b5e826f70c9f,colour_swap_001,diverse,0.9056,"[[2, 0, 1], [1, 2, 2], [0, 1, 2]]","[""Initialised from greedy answer."", ""Perturbed 1 cell(s) at rate 0.1."", ""Final answer differs from greedy in 1 position(s).""]",2026-04-13T12:52:28.317566+00:00
7d56222f-1da1-471b-b09e-179fb9f33cdb,colour_swap_001,adversarial,0.1817,"[[2, 0, 1], [1, 2, 0], [0, 1, 2]]","[""Computed inverted colour mapping: {2: 1, 1: 2, 0: 0}."", ""Applied inverse mapping to introduce adversarial hypothesis."", ""Low confidence assigned; designed to test tribunal rejection.""]",2026-04-13T12:52:28.332988+00:00
7c44dbb7-77db-4957-adde-f3fa97ed7798,colour_swap_001,rule_first,0.2909,"[[1, 0, 2], [2, 1, 0], [0, 2, 1]]","[""Evaluated 5 candidate rules against 2 training pairs."", ""Best rule: 'copy' with training fit=0.00."", ""Applied selected rule to test input.""]",2026-04-13T12:52:28.348645+00:00
8217b68a-0cc4-400b-bd48-e6f40365d600,colour_swap_001,minimal_description,0.4655,"[[2, 0, 1], [1, 2, 0], [0, 1, 2]]","[""Input has 3 distinct colour(s): [0, 1, 2]."", ""Greedy answer has 3 colour(s): [0, 1, 2]."", ""Simplification applied: False."", ""Final answer uses 3 colour(s). MDL score=0.250.""]",2026-04-13T12:52:28.363356+00:00
e1da58e0-bf3c-4fd5-b6f4-6c6715a7b0ab,copy_identity_003,greedy,0.9056,"[[2, 0, 2], [0, 2, 0], [2, 0, 2]]","[""Identified 10 distinct colour mappings from 2 training pairs."", ""Derived greedy best mapping: {1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 0: 0}."", ""Applied mapping to 3x3 test grid (coverage=1.00).""]",2026-04-13T12:52:28.462716+00:00
2b656cde-a286-40a7-9613-eac8a18fb383,copy_identity_003,diverse,0.9056,"[[0, 0, 2], [0, 2, 0], [2, 0, 2]]","[""Initialised from greedy answer."", ""Perturbed 1 cell(s) at rate 0.1."", ""Final answer differs from greedy in 1 position(s).""]",2026-04-13T12:52:28.479882+00:00
dfeb4367-bc62-4f51-b718-ef1f4e4ff0f2,copy_identity_003,adversarial,0.1817,"[[2, 0, 2], [0, 2, 0], [2, 0, 2]]","[""Computed inverted colour mapping: {1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 0: 0}."", ""Applied inverse mapping to introduce adversarial hypothesis."", ""Low confidence assigned; designed to test tribunal rejection.""]",2026-04-13T12:52:28.495097+00:00
ac98c789-b1fc-40e9-afce-7d764e066b9f,copy_identity_003,rule_first,0.7909,"[[2, 0, 2], [0, 2, 0], [2, 0, 2]]","[""Evaluated 5 candidate rules against 2 training pairs."", ""Best rule: 'copy' with training fit=1.00."", ""Applied selected rule to test input.""]",2026-04-13T12:52:28.511654+00:00
56ff6e4a-bdfa-4b5b-ac98-4bcd5cf2f936,copy_identity_003,minimal_description,0.4989,"[[2, 0, 2], [0, 2, 0], [2, 0, 2]]","[""Input has 2 distinct colour(s): [0, 2]."", ""Greedy answer has 2 colour(s): [0, 2]."", ""Simplification applied: False."", ""Final answer uses 2 colour(s). MDL score=0.333.""]",2026-04-13T12:52:28.529158+00:00
